Start date;End date;Country;ISO;Location;Disaster type;Disaster subtype;Total affected;Total damage ('000 US$);Insured losses ('000 US$);Total deaths;Disaster No.
1/1/2010;13/1/2010;Bolivia;BOL;Beni, Chuquisaca, Cochabamba, La Paz and Santa Cruz provinces;Flood;Riverine flood;227860;0;0;26;2010-0023
9/1/2010;1/2/2010;Ecuador;ECU;Cotopaxi, El Oro, Esmeraldas, Guayas provinces;Flood;Riverine flood;500;0;0;12;2010-0056
10/2/2010;17/2/2010;Peru;PER;La Esperanza, El Porvenir, Salaverry towns (Trujillo district, La Libertad province);Flood;Riverine flood;80000;0;0;20;2010-0065
4/4/2010;12/4/2010;Brazil;BRA;Niteroi, Sao Goncalo, Rio de Janeiro districts (Rio de Janeiro province);Flood;Riverine flood;74938;200000;0;256;2010-0147
6/4/2010;7/3/2011;Colombia;COL;Sucre, Bolivar, Cordoba, Antioquia, Atlantico, Narino, Valle del Cauca, Magdalena, Caqueta, Cesar, Cauca, Boyaca, Cundinamarca, Santander, Choco, Caldas, Guajira, Tolima, Huila, Risaralda, Meta, Putumayo, Quindio, Arauca, Casanare, Amazonas, Guaviare provinces;Flood;Riverine flood;2791999;1000000;14000;418;2010-0168
6/4/2010;6/4/2010;Ecuador;ECU;Tena district (Napo province);Flood;Riverine flood;6440;0;0;2;2010-0270
19/6/2010;23/6/2010;Brazil;BRA;Alagoas, Pernambuco provinces;Flood;Riverine flood;157000;602000;0;72;2010-0248
1/7/2010;12/7/2010;Colombia;COL;Magui Payan municipality (Magui district, Nari�o province);Flood;Riverine flood;3761;0;0;0;2010-0430
9/8/2010;13/8/2010;Colombia;COL;Paraguachon, La Majayura, Carraipia cities (Maicao district, Guajira province);Flood;Riverine flood;800;0;0;0;2010-0401
6/11/2010;1/1/2011;Brazil;BRA;Minas Gerais, Rio de Janeiro, Sao Paulo provinces;Flood;Riverine flood;13000;0;0;35;2010-0674
25/11/2010;6/12/2010;Venezuela (Bolivarian Republic of);VEN;Distrito Capital, Falcon, Merida, Miranda, Nueva Esparta, Trujillo, Vargas, Zulia provinces;Flood;Riverine flood;94800;170000;0;41;2010-0616
9/1/2011;1/2/2011;Peru;PER;Apurimac, Madre de Dios, Puno, San Martin provinces;Flood;Riverine flood;10000;0;0;6;2011-0064
11/1/2011;12/1/2011;Brazil;BRA;Nova Friburgo, Petropolis, Teresopolis districts (Rio De Janeiro province);Flood;Riverine flood;45000;1000000;50000;900;2011-0014
8/2/2011;9/2/2011;Ecuador;ECU;Vinces district (Los Rios province), Bolivar, Carchi, Chimborazo, Cotopaxi, El Oro, Guayas, Imabura, Manabi, Zamora Chinchipe provinces;Flood;Riverine flood;3600;0;0;0;2011-0095
14/2/2011;11/4/2011;Bolivia (Plurinational State of);BOL;Beni, Chuquisaca, Cochabamba, La Paz provinces;Flood;Riverine flood;88825;20000;0;52;2011-0040
12/3/2011;18/3/2011;Brazil;BRA;Santa Cartarina, Parana, Espirito Santo, Mato Grosso,  Mato Grosso do Sul, Rio Grande Do Sul province;Flood;Riverine flood;31000;0;0;10;2011-0086
2/4/2011;1/7/2011;Colombia;COL;Antioquia, Santander, Bolivar, Magdalena, Sucre, Atlantico, La Guajira, Cesar, Cordoba, Choco, Risaralda, Caldas, Norte de Santander, Arauca, Boyaca, Casanare, Cundinamarca, Quindio, Valle Del Cauca, Tolima, Huila, Cauca, Narino, Putumayo, Caqueta, Meta, Guainia, Guaviare, Amazonas;Flood;Riverine flood;988599;1030000;41000;138;2011-0132
15/4/2011;25/4/2011;Venezuela (Bolivarian Republic of);VEN;Bolivar town (Colon district, Zulia province);Flood;Flash flood;0;0;0;9;2011-0619
21/4/2011;24/4/2011;Brazil;BRA;Rio Grande do Sul province;Flood;Riverine flood;31600;0;0;12;2011-0142
8/5/2011;11/5/2011;Brazil;BRA;Pernambuco province;Flood;Riverine flood;13000;0;0;2;2011-0187
26/5/2011;26/5/2011;Peru;PER;Ucayali province;Flood;Riverine flood;3000;0;0;1;2011-0556
15/7/2011;19/7/2011;Brazil;BRA;Pernambuco, Paraiba, Rio Grande do Sul provinces;Flood;Riverine flood;78000;0;0;15;2011-0213
23/7/2011;29/7/2011;Brazil;BRA;Rio Grande do Sul province;Flood;Riverine flood;3000;0;0;3;2011-0427
1/9/2011;29/12/2011;Colombia;COL;Valle del Cauca, Norte de Santander, Santander, Antioquia, Boyaca, Caldas, Casanare, Choco, Tolima, Quindio, Huila, Cauca, Meta, Magdalena, Sucre, Cesar, Cordoba, Risaralda, Atlantico, Guajira, Bolivar, Cundinamarca, Narino, Caqueta, San Andres y Providencia, Putumayo, Guaviare provinces;Flood;Riverine flood;498924;1290000;0;135;2011-0386
8/9/2011;9/9/2011;Brazil;BRA;Santa Catarina province;Flood;Riverine flood;1000000;0;0;3;2011-0361
1/12/2011;1/12/2011;Venezuela (Bolivarian Republic of);VEN;Aragua, Zulia provinces;Flood;Riverine flood;1668;0;0;0;2011-0569
5/12/2011;1/5/2012;Peru;PER;Amazon, Ancash, Apurimac, Arequipa, Ayacucho, Cajamarca, Cusco, Huancavelica, Huanuco, Ica, Junin, La Libertad, Lambayeque, Lima, Loreto, Madre de Dios, Moquegua, Pasco, Piura, Puno, San Martin, Tacna, Ucayali provinces;Flood;Riverine flood;809945;0;0;65;2011-0660
6/12/2011;1/1/2012;Brazil;BRA;Minas Gerais, Espirito Santo, Rio de Janeiro provinces;Flood;Riverine flood;14000;2000;0;33;2011-0626
6/12/2011;12/12/2011;Venezuela (Bolivarian Republic of);VEN;Distrito Capital, Merida, Miranda, Tachira, Zulia provinces;Flood;Riverine flood;2000;16000;0;8;2011-0635
1/1/2012;26/3/2012;Ecuador;ECU;Candilejo Arriba, Tierra o Muerte, Paula Leon, Santa Lucia, Porvenir, La Chontilla, El Jovito areas (Salitre district, Guayas province), Porvenir, El Tropezon, La Carmela de abajo, San Isidro areas (Babahoyo district, Los Rios province), (Pajarito de Abajo, La Yuca, La Palmira, Hiyerones, Independencia areas (Mocache districts, Los Rios province), Manabi, Santa Elena, Azuay, Canar,  Cotopaxi, El Oro, Esmeraldas, Loja provinces;Flood;Riverine flood;71860;0;0;29;2012-0071
10/1/2012;1/2/2012;Bolivia (Plurinational State of);BOL;Beni, Chuquisaca, Cochabamba, La Paz, Oruro, Pando, Potosi, Santa Cruz, Tarija provinces;Flood;Riverine flood;69085;0;0;13;2012-0051
8/2/2012;13/3/2012;Peru;PER;Amazonas, Ancash, Apurimac, Arequipa, Ayacucho, Cajamarca, Callao, Cusco, Huancavelica, Huanuco, Ica, Junin, La Libertad, Lambayeque, Lima, Loreto, Madre de Dios, Moquegua, Pasco, Piura, Puno, San Martin, Tacna, Tumbes, Ucayali provinces;Flood;Riverine flood;50029;0;0;14;2012-0402
20/2/2012;26/3/2012;Brazil;BRA;Acre province;Flood;Riverine flood;89000;0;0;3;2012-0075
1/3/2012;15/3/2012;Chile;CHL;Magallanes y Antartica chilena, Arica-Parinacota, Tarapaca provinces;Flood;Riverine flood;4300;3100;0;0;2012-0070
15/3/2012;14/5/2012;Colombia;COL;Casanare, Amazonas, Valle del Cauca, Narino, Bocaya, Putumayo, Huila, Sucre, Cordoba, Santander, Cundimarca, Cauca, Choco provinces;Flood;Riverine flood;8000;62000;0;48;2012-0238
15/3/2012;1/4/2012;Paraguay;PRY;Mcal. Estigarribia district (Boqueron province), Alto Paraguay, Concepcion, Presidente Hayes province;Flood;Riverine flood;78945;4000;0;0;2012-0089
20/4/2012;26/4/2012;Colombia;COL;Soacha district (Cundinamarca province);Flood;Riverine flood;56000;40000;0;17;2012-0187
1/5/2012;20/5/2012;Brazil;BRA;Alvaraes, Amatura, Anama, Anori, Autazes, Barcelos, Barreirinha, Benjamin Costant, Beruri, Careiro, Careiro Da Varzea, Coari, Codajas, Fonte Boa, Iranduba, Itacoatiara, Itapiranga, Jurua, Jutai, Manacapuru, Manaquiri, Manaus, Maraa, Nhamunda, Novo Airao, Parintins, Santa Isabel Do Rio Negro, Santo Antonio Do Ica, Sao Gabriel Da Cachoeira, Sao Paulo De Olivenca, Silves, Tabatinga, Tefe, Tonantins, Uarini, Urucara, Urucurituba districts (Amazonas province);Flood;Riverine flood;210000;171000;0;0;2012-0185
8/5/2012;11/5/2012;Venezuela (Bolivarian Republic of);VEN;Tachira, Sucre, Bolivar provinces;Flood;Riverine flood;11000;93000;0;0;2012-0241
5/10/2012;19/10/2012;Colombia;COL;Villa del Prado town (Isnos district, Huila province);Flood;Riverine flood;17518;0;0;12;2012-0457
20/11/2012;4/12/2012;Argentina;ARG;Corrientes province;Flood;Riverine flood;10000;0;0;6;2012-0593
1/1/2013;20/1/2013;Brazil;BRA;Xerem town (Duque De Caxias district, Rio de Janeiro province);Flood;Riverine flood;200000;2000;0;4;2013-0003
1/1/2013;20/2/2013;Peru;PER;Loreto, Arequipa, Cusco, Ancash, Huancavelica, Huanuco, Pasco provinces;Flood;Riverine flood;180766;0;0;67;2013-0056
7/1/2013;1/4/2013;Ecuador;ECU;Carchi, Chimborazo, El Oro, Esmeraldas, Guayas, Imbabura, Los Rios, Manabi, Morona Santiago, Napo, Orellana, Pastaza, Pichincha, Santa Elena, Santo Domingo de los Tsachilas, Tungurahua provinces;Flood;Riverine flood;25567;0;0;0;2013-0372
28/1/2013;27/2/2013;Bolivia (Plurinational State of);BOL;Beni, Chuquisaca, Cochabamba, La Paz, Oruro, Pando, Potosi, Santa Cruz, Tarija provinces;Flood;Riverine flood;145000;2500;0;25;2013-0057
17/3/2013;18/3/2013;Brazil;BRA;"Petropolis, Magaratiba, Niteroi, Angra dos Reis districts (Rio de Janeiro province)Xerem, Duque de Caxias towns (Duque de Caxais district, Rio de Janeiro province)";Flood;Riverine flood;1510;1500;0;30;2013-0077
1/4/2013;7/4/2013;Argentina;ARG;Buenos Aires city (Buenos Aires D.f. province), La Plata city (La Plata district, Buenos Aires province);Flood;Riverine flood;350000;1300000;163000;52;2013-0119
20/6/2013;18/7/2013;Paraguay;PRY;Ciudad Del Este, Pte. Franco districts (Alto Parana province), San Cosme Y Damian district (Itapua province), Ayolas district (Misiones province), Cerrito, Gral. Jose E. Diaz, Paso De Patria, Mayor Martinez, Villa Franca, Villalvin districts (Neembucu province);Flood;Riverine flood;61400;0;0;0;2013-0214
15/9/2013;1/12/2013;Colombia;COL;Boyaca, Caldas, Cundinamarca, Huila, Quindio, Risaralda, Choco, Valle del Cauca, Magdalena, Bolivar, Antioquia, Atlantico, Cauca provinces;Flood;Riverine flood;51781;2000;0;7;2013-0513
9/10/2013;1/2/2014;Bolivia (Plurinational State of);BOL;Beni, Chuquisaca, Cochabamba, La Paz, Oruro, Pando, Potosi, Santa Cruz, Tarija provinces;Flood;Riverine flood;338995;0;0;74;2013-0544
19/10/2013;22/10/2013;Peru;PER;Leoncio Prado district (Huanuco province);Flood;Riverine flood;355;0;0;1;2013-0578
7/12/2013;10/12/2013;Brazil;BRA;Lajedinho district (Bahia province);Flood;Riverine flood;600;2000;0;19;2013-0519
12/12/2013;12/12/2013;Brazil;BRA;Belford Roxo, Duque de Caxias, Nilopolis, Nova Igua�u, Queimados, Rio de Janeiro and Sao JoaoDe Meriti districts (Rio de Janeiro province);Flood;Riverine flood;2000;0;0;2;2013-0521
17/12/2013;4/1/2014;Brazil;BRA;Espirito Santo, Minas Gerais provinces;Flood;Riverine flood;43300;540000;0;64;2013-0552
1/1/2014;20/1/2014;Peru;PER;Cusco, Huancavelica provinces;Flood;Riverine flood;0;0;0;21;2014-0534
6/1/2014;6/1/2014;Colombia;COL;Tandandao, Santa Rosa, Sanandocito, Marqueza, Teatino, Canaveral, Chambacu, San Augustin, Brisas, Charco Hondo, Barranconcito, Loma de CHupey, Barrancon, Charco Largo cities (Sipi district, Choco province);Flood;Riverine flood;8978;0;0;0;2014-0019
12/1/2014;13/1/2014;Brazil;BRA;Itaoca, Apiai districts (Sao Paulo province);Flood;Flash flood;600;0;0;20;2014-0002
24/1/2014;27/1/2014;Peru;PER;Madre de Dios, Cusco, Puno, Apurimac, Pasco provinces;Flood;Riverine flood;9000;0;0;0;2014-0040
15/2/2014;1/3/2014;Brazil;BRA;Rondonia, Acre provinces;Flood;Riverine flood;67500;200000;0;0;2014-0103
25/2/2014;10/3/2014;Paraguay;PRY;Asuncion district (Central province);Flood;Riverine flood;2000;0;0;0;2014-0142
9/3/2014;1/7/2014;Paraguay;PRY;Neembucu, Presidente Hayes, Alto Paraguay, Concepcion, San Pedro, Alto Parana, Misiones, Central provinces;Flood;Riverine flood;231360;0;0;0;2014-0188
15/3/2014;15/5/2014;Colombia;COL;Cauca, Caqueta, Choco, Magdalena, Caldas provinces;Flood;Riverine flood;41151;0;0;33;2014-0430
1/4/2014;8/4/2014;Argentina;ARG;Neuquen, Rio Negro, Cordoba, Santa Fe, Entre Rios, Catamarca, Santiago del Estero provinces;Flood;Riverine flood;2000;0;0;0;2014-0139
7/6/2014;30/6/2014;Argentina;ARG;Chaco, Formosa, Misiones, Corrientes provinces;Flood;Riverine flood;0;62000;0;0;2014-0188
7/6/2014;30/6/2014;Brazil;BRA;Parana and Santa Catarina states;Flood;Riverine flood;500052;0;0;11;2014-0188
11/6/2014;11/6/2014;Chile;CHL;Coquimbo, Aisen del Gral. Carloz, Valparaiso, Metropolitana, Los Rios, Araucania, Biobio, Libertador Gral. Bernardo O'higgins, Los Lagos, Maule, Metropolitana provinces;Flood;Riverine flood;12555;0;0;0;2014-0525
14/6/2014;14/6/2014;Colombia;COL;Sibundoy, Colon, Santiago, San Francisco districts (Putumayo province);Flood;Riverine flood;4085;0;0;0;2014-0431
3/7/2014;14/7/2014;Brazil;BRA;Rio Grande do Sul;Flood;Flash flood;50000;0;0;10;2014-0245
1/10/2014;1/2/2015;Bolivia (Plurinational State of);BOL;"Filadelphia, Bolpebra, Cobija, Porvenir muncipalities (Pando);  Beni; Chuquisaca; Yungas (La Paz); Cochabamba; Oruro; Potosi; Santa Cruz; Tarija departments";Flood;Riverine flood;185120;0;0;38;2014-0532
22/10/2014;31/1/2015;Peru;PER;Loreto, San Martin, Junin, Ucayali, Arequipa provinces;Flood;Riverine flood;83878;0;0;20;2014-0529
30/10/2014;4/11/2014;Argentina;ARG;Buenos Aires D.f., Buenos Aires provinces;Flood;--;5203;0;0;3;2014-0442
1/11/2014;20/12/2014;Colombia;COL;Choco province;Flood;Riverine flood;18000;8000;0;44;2014-0505
15/1/2015;31/1/2015;Bolivia (Plurinational State of);BOL;Chuquisaca, Cochabamba, La Paz, Oruro, Potosi, Santa Cruz, Pando, Beni, Tarija;Flood;Riverine flood;92890;0;0;25;2014-0529
20/2/2015;24/2/2015;Bolivia (Plurinational State of);BOL;Cobija city (Nicolas Suarez district, Pando province);Flood;--;4000;0;0;0;2015-0383
4/3/2015;4/3/2015;Argentina;ARG;Cordoba, San Luis, Santiago del Estero, Catamarca, Santa Fe, Chaco, Corrientes, Salta, Tucuman provinces;Flood;Riverine flood;15000;0;0;2;2015-0070
23/3/2015;23/3/2015;Ecuador;ECU;Santo Domingo district (Santo Domino de los Tsachilas province), Santa Rosa district (El Oro province), Chillanes district (Bolivar province), Pichincha, Los Rios, Esmeraldas, Napo provinces;Flood;Riverine flood;1185;0;0;12;2015-0114
23/3/2015;23/3/2015;Peru;PER;Pedegral area (Camana district, Arequipa province), Quirio, Chosica, Lurigancho areas (Lima district, Lima province), La Trinchera area (Tacna district, Tacna province), Santa Eulalia area (Huarochiri district, Lima province), La Libertad province;Flood;Riverine flood;3235;0;0;9;2015-0522
25/3/2015;8/4/2015;Chile;CHL;Atacama, Antofagasta, Coquimbo provinces;Flood;Flash flood;193881;1500000;500000;178;2015-0106
1/4/2015;2/5/2015;Brazil;BRA;"Amazonas state; Boca do Acre (Punus region)";Flood;--;1000;0;0;5;2015-0208
9/4/2015;9/4/2015;Peru;PER;San Juan Bautista, Punchana, Belen, Indiana areas (Maynas district, Loreto province), Datem del Maranon, Requena, Mariscal Ramon Castilla, Ucayali, Loreto, Alto Amazonas districts (Loreto province);Flood;Riverine flood;147405;0;0;0;2015-0199
17/5/2015;21/5/2015;Chile;CHL;"Aisen, Araucania, Los Rios, Los Lagos provinces";Flood;--;116;0;0;0;2015-0204
29/6/2015;7/7/2015;Venezuela (Bolivarian Republic of);VEN;Apure, Tachira, Merida, Zulia provinces;Flood;Riverine flood;45297;0;0;0;2015-0296
10/7/2015;21/7/2015;Brazil;BRA;Parana, Santa Catarina provinces, Rio Grande do Sul province ;Flood;--;283140;0;0;3;2015-0285
15/7/2015;21/7/2015;Guyana;GUY;Barima Waini (region N�1), Demerara Mahaica (region N�4), Essequibo Islands/west Demerara (region N�3), Mahaica Berbice (region N�5), Pomeroon/supenaam (region N�2) provinces;Flood;Coastal flood;199000;0;0;0;2015-0313
22/7/2015;6/8/2015;Colombia;COL;San Miguel, Puerto Asis, V/Guamuez;Flood;Riverine flood;8105;0;0;0;2015-0325
25/7/2015;5/8/2015;Paraguay;PRY;Asuncion district (Central province), San Pedro, Guaira provinces;Flood;Riverine flood;3700;0;0;0;2015-0310
5/8/2015;12/8/2015;Argentina;ARG;Santos Lugares municipality (Tres de Febrero district, Buenos Aires district), Mar del Plata city (General Pueyrredon district, Buenos Aires district) Lujan, San Antonio de Areco, Campana, Salto, Chacabuco, Chivilcoy, Pilar, Quilmes, La Plata, Berisso, Zarate, Mercedes, San Andres de Giles, Pergamino, Junin, Pila, Arrecifes districts (Buenos Aires province), Venado Tuerto city (General Lopez district, Santa Fe province);Flood;Riverine flood;50000;0;0;3;2015-0349
17/8/2015;19/8/2015;Uruguay;URY;Durazno, Treinta Y Tres, Soriano, Tacuarembo provinces;Flood;Riverine flood;2326;0;0;0;2015-0363
8/10/2015;20/10/2015;Brazil;BRA;Santa Catarina, Rio Grande do Sul provinces;Flood;Riverine flood;5370;2000;0;3;2015-0489
14/10/2015;28/10/2015;Uruguay;URY;Artigas, Salto, Rivera,Tacuaremb�, Paysandu, Cerro Largo province;Flood;--;10000;0;0;0;2015-0498
20/12/2015;11/1/2016;Argentina;ARG;Concordia city (Condordia district, Entre Rios province), Hernandarias city (Paran� district, Entre Rios proince), Gualeguaych�, Col�n districts (Entre Rios province), Paso de la Patria, Santa Ana cities (San Cosme district, Corrientes province), Perugorria city (Curuzu Cuatia district, Corrientes province), Cruz de los Milagros, Algarrobo, San Jos�, Santa Lucia cities (Lavalle district, Corrientes province), Esquina, Goya, Paso de los Libres districts (Corrientes province);Flood;Riverine flood;76133;0;0;6;2015-0551
20/12/2015;26/12/2015;Brazil;BRA;Rio Grande do Sul province;Flood;Riverine flood;9000;0;0;0;2015-0551
20/12/2015;26/12/2015;Uruguay;URY;Artigas, Cerro Largo, Paysandu, Rivera, Salto, Tacuarembo provinces;Flood;Riverine flood;16000;0;0;0;2015-0551
23/12/2015;27/1/2016;Paraguay;PRY;Puerto Yvapovo, Puerto Santa Rosa, Puerto San Roque, Angelita, Tape Kaaguy, Santo Loma areas (S.pedro De Ycuamandyyu district, San Pedro province), Mbopicua, Puerto Amistad Villa del Rosario areas (Villa Del Rosario district, San Pedro province), Poroto, Monte Alto, Barranquerita areas (Anterquara district, San Pedro province), Concepcion, Misiones, Neembucu, Amambay, Presidente Hayes, Central provinces;Flood;Riverine flood;136450;0;0;12;2015-0551
1/1/2016;25/1/2016;Ecuador;ECU;Guayas, Bol�var, Esmeraldas, Cotopaxi, Los R�os, Manab�, Imbabura, Santo Domingo de los Ts�chilas, El Oro provinces;Flood;Flash flood;10000;10000;0;9;2016-0032
9/1/2016;15/1/2016;Brazil;BRA;Arapongas, Rol�ndia, Londrina districts (Parana province), Sao Paulo province, Aquidauana, Miranda, Dois Irm�os do Buriti, Taquarussu districts (Mato Grosso do Sul province);Flood;--;50500;100000;0;3;2016-0033
24/1/2016;26/1/2016;Ecuador;ECU;Atacames, Rioverde, Esmeraldas districts (Esmeraldas province);Flood;Riverine flood;23955;0;0;0;2016-0039
20/2/2016;25/2/2016;Peru;PER;Puno, Arequipa, Cusco, Junin provinces;Flood;--;10000;2000;0;2;2016-0054
28/2/2016;3/3/2016;Bolivia (Plurinational State of);BOL;Sur Yungas, Nor Yungas, Camacho, Bautista Saavedra districts (La Paz province), Apolo municipality (Franz Tamayo district, La Paz province), Achocalla municipality (Murillo district, La Paz province), Puerto Villaroel municipality (Carrasco district, Cochabamba province), Arani district (Cochabamba province);Flood;--;120;0;0;0;2016-0246
10/3/2016;11/3/2016;Brazil;BRA;Mairipora, Francisco Morato, Itapevi, Guarulhos, Cajamar districts (Sao Paulo province), Rio de Janeiro province;Flood;Flash flood;0;100000;0;30;2016-0077
4/4/2016;15/4/2016;Argentina;ARG;Entre Rios, Corrientes, Santa Fe, Chaco, Formosa, Santiago del Estero, Buenos Aires, Cardoba provinces;Flood;Riverine flood;72119;1000000;50000;0;2016-0127
12/4/2016;11/5/2016;Uruguay;URY;"All departments Artigas, Canelones, Cerro Largo, Colonia, Durazno, Flores, Florida, Lavalleja, Montevideo, Paysandu, Rio Negro, Rivera, Rocha, Salto, San Jose, Soriano (Dolores, Cadol, Barrio Paris, Centro and Altos de Dolores), Tacuarembo, Treinta Y Tres provinces";Flood;--;10605;3000;0;8;2016-0115
15/4/2016;18/4/2016;Chile;CHL;Metropolitana district (Santiago province);Flood;Riverine flood;100;100000;0;12;2016-0118
18/10/2016;22/10/2016;Colombia;COL;Choco department;Flood;Riverine flood;2200;0;0;4;2016-0533
26/11/2016;5/12/2016;Bolivia (Plurinational State of);BOL;Tiquipaya (Quillacollo-Cochabamba department), Tipuani (Larecaja-La Paz), Lagunillas (Cordillera-Santa Cruz);Flood;--;5300;0;0;4;2016-0522
26/11/2016;5/12/2016;Colombia;COL;Cali city (Silo� district);Flood;--;72;0;0;6;2016-0522
26/11/2016;5/12/2016;Venezuela (Bolivarian Republic of);VEN;Miranda, Nueva Esparta, Monagas provinces;Flood;--;0;0;0;0;2016-0522
25/12/2016;26/12/2016;Argentina;ARG;"Pergamino, Ramallo, Col�n, Arrecifes, Rojas, Salto, San Nicol�s, Florentino Ameghino, General Villegas, Baradero, San Antonio de Areco (Buenos Aires); Jovita (General Roca), Villa Dolores (San Javier), La Cumbre, La Falda, Villa Giardini (Punilla), Rio Ceballos, Salsipuedes, Agua de Oro, Jes�s Mar�a, Colonia Caroya (Colon) (C�rdoba); Maria Teresa (General Lopez), Allvarez (Rosario) (Santa Fe) ; La Paz, Parana (Entre Rios)";Flood;Riverine flood;13650;2000;0;0;2016-0519
5/1/2017;7/2/2017;Colombia;COL;Nari�o Department (Olaya Herrera, Arboleda, Barbacoas, Roberto Pay�n, Magui Pay�n, Policarpa, Santa B�rbara de Iscuand�, Tumaco);Flood;--;25661;0;0;0;2017-0225
14/1/2017;1/2/2017;Peru;PER;Arequipa, Camana, Caraveli, Castile, Caylloma, Condesuyos, Islay, La Union (Arequipa). Huancavelica, Acobamba, Angaraes, Castrovirreyna, Huaytara, Tayacaja (Huancavelica), Ica, Nasca, Palpa, Pisco (Ica), Canete, Canta, Huarochirir, Lima, Oyon, Yauyos (Lima);Flood;--;376000;100000;0;15;2017-0036
